brow_lower_l,tongue_Scale_X,tongue_Scale__X,tongue_Scale_Y,tongue_Scale__Y,tongue_Scale_Z,tongue_Scale__Z,nose_out_l,nose_out_r,tongue_u,tongue_u_u,cheek_suck_r,brow_raise_d,mouth_stretch_u,tongue_u_d,tooth_d_d,tongue_d,tooth_r,tooth_d_u,cheek_UP,eye_blink1_l,eye_blink1_r,eye_blink2_l,eye_blink2_r,eye_lidTight_l,eye_lidTight_r,eye_shutTight_l,eye_shutTight_r,brow_lower_r,eye_upperLidRaise_l,eye_upperLidRaise_r,eye_downLidRaise_l,eye_downLidRaise_r,jaw_sideways_l,jaw_sideways_r,jaw_thrust_c,mouth_chew_c,mouth_chinRaise_d,mouth_chinRaise_u,brow_raise_c,mouth_dimple_l,mouth_dimple_r,mouth_funnel_dl,mouth_funnel_dr,mouth_funnel_ul,mouth_funnel_ur,mouth_lipCornerDepressFix_l,mouth_lipCornerDepressFix_r,mouth_lipCornerDepress_l,mouth_lipCornerDepress_r,brow_raise_l,mouth_lipCornerPullOpen_l,mouth_lipCornerPullOpen_r,mouth_lipCornerPull_l,mouth_lipCornerPull_r,mouth_lipStretchOpen_l,mouth_lipStretchOpen_r,mouth_lipStretch_l,mouth_lipStretch_r,mouth_lowerLipDepress_l,mouth_lowerLipDepress_r,brow_raise_r,mouth_lowerLipProtrude_c,mouth_oh_c,mouth_oo_c,mouth_pressFix_c,mouth_press_l,mouth_press_r,mouth_pucker_l,mouth_pucker_r,mouth_screamFix_c,mouth_sideways_l,cheek_puff_l,mouth_sideways_r,mouth_stretch_c,mouth_suck_dl,mouth_suck_dr,mouth_suck_ul,mouth_suck_ur,mouth_upperLipRaise_l,mouth_upperLipRaise_r,nose_wrinkle_l,nose_wrinkle_r,cheek_puff_r,tooth_l,eye_lookDown1_l,eye_lookDown2_l,eye_lookLeft_l,eye_lookRight_l,eye_lookUp_l,eye_lookDown1_r,eye_lookDown2_r,eye_lookLeft_r,cheek_raise_l,eye_lookRight_r,eye_lookUp_r,tongue_Rot_1X,tongue_Rot__1X,tongue_Rot_2X,tongue_Rot__2X,tongue_Rot_3X,tongue_Rot__3X,tongue_Rot_1Y,tongue_Rot__1Y,cheek_raise_r,tongue_Rot_2Y,tongue_Rot__2Y,tongue_Rot_3Y,tongue_Rot__3Y,tongue_Rot_1Z,tongue_Rot__1Z,tongue_Rot_2Z,tongue_Rot__2Z,tongue_Rot_3Z,tongue_Rot__3Z,cheek_suck_l
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-2.6957568479701877e-06,0.0,0.0,-1.4542125427396968e-05,-1.217232238559518e-06,0.0009801096748560667,0.0,0.0,-3.623250904638553e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,4.05886021326296e-06,0.0,0.0,0.0,0.0,0.0008237054571509361,0.0,-2.3140146367950365e-05,-2.3140157281886786e-05,0.0010321475565433502,0.0010321550071239471,0.0005446653813123703,0.0005446653813123703,0.0,0.0,0.0,0.0,0.0,-2.3140099074225873e-05,-2.31401645578444e-05,0.0016240407712757587,0.0016240407712757587,0.0,0.0,8.154870010912418e-05,8.154846727848053e-05,0.0021805129945278168,0.002193750813603401,0.0,0.0,0.0016271770000457764,0.0007539847865700722,0.0,0.0004554423503577709,0.0004554423503577709,0.0011412519961595535,0.001141078770160675,0.0,0.0,0.0,0.0,0.006026074290275574,0.0009973859414458275,0.0009973854757845402,0.00027016736567020416,0.00027016643434762955,0.001087268814444542,0.0010613827034831047,-8.900272950995713e-05,-8.900275861378759e-05,0.0,-2.1085512344143353e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-2.7080732252215967e-06,0.0,0.0,-1.4533334251609631e-05,-1.2164637155365199e-06,0.000983955105766654,0.0,0.0,-3.6291203286964446e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,4.110774170840159e-06,0.0,0.0,0.0,0.0,0.0008229954401031137,0.0,-2.3190994397737086e-05,-2.31910016736947e-05,0.0010327138006687164,0.001032710075378418,0.0005450248718261719,0.0005450230091810226,0.0,0.0,0.0,0.0,0.0,-2.319093982805498e-05,-2.3191008949652314e-05,0.0016237485688179731,0.0016237490344792604,0.0,0.0,8.396082557737827e-05,8.396105840802193e-05,0.0021829530596733093,0.002196192741394043,0.0,0.0,0.0016314685344696045,0.0007568290457129478,0.0,0.00045586470514535904,0.00045586470514535904,0.0011421646922826767,0.001141989603638649,0.0,0.0,0.0,0.0,0.006207160651683807,0.0009964033961296082,0.0009964029304683208,0.00027158716693520546,0.00027158716693520546,0.0010901959612965584,0.001064365729689598,-8.895344217307866e-05,-8.895347127690911e-05,0.0,-2.1020210624556057e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-2.7859732654178515e-06,0.0,0.0,-1.4477747754426673e-05,-1.2116001926187892e-06,0.0010082661174237728,0.0,0.0,-3.6662431739387102e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,4.438905307324603e-06,0.0,0.0,0.0,0.0,0.0008185063488781452,0.0,-2.351247167098336e-05,-2.3512475308962166e-05,0.0010362528264522552,0.0010362528264522552,0.0005472972989082336,0.0005472954362630844,0.0,0.0,0.0,0.0,0.0,-2.3512424377258867e-05,-2.3512493498856202e-05,0.0016219024546444416,0.0016219017561525106,0.0,0.0,9.921402670443058e-05,9.921402670443058e-05,0.002198394387960434,0.002211630344390869,0.0,0.0,0.001658610999584198,0.0007748203352093697,0.0,0.00045854179188609123,0.00045854179188609123,0.001147916540503502,0.0011477470397949219,0.0,0.0,0.0,0.0,0.007352054119110107,0.0009901896119117737,0.0009901882149279118,0.00028056465089321136,0.00028056418523192406,0.0011086994782090187,0.0010832324624061584,-8.864192932378501e-05,-8.864197297953069e-05,0.0,-2.0607349142665043e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-2.864528141799383e-06,0.0,0.0,-1.4421695595956407e-05,-1.2066961971868295e-06,0.001032780623063445,0.0,0.0,-3.7036757021269295e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,4.769801307702437e-06,0.0,0.0,0.0,0.0,0.0008139795972965658,0.0,-2.383665560046211e-05,-2.3836662876419723e-05,0.0010398216545581818,0.0010398216545581818,0.000549590215086937,0.000549590215086937,0.0,0.0,0.0,0.0,0.0,-2.383660466875881e-05,-2.3836662876419723e-05,0.0016200393438339233,0.0016200391110032797,0.0,0.0,0.00011459621600806713,0.00011459621600806713,0.0022139642387628555,0.0022271983325481415,0.0,0.0,0.0016859695315361023,0.0007929587736725807,0.0,0.0004612402990460396,0.0004612402990460396,0.0011537205427885056,0.0011535491794347763,0.0,0.0,0.0,0.0,0.008506529033184052,0.0009839232079684734,0.0009839232079684734,0.00028961803764104843,0.0002896175719797611,0.0011273589916527271,0.0011022565886378288,-8.832779712975025e-05,-8.832782623358071e-05,0.0,-2.019102430494968e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-2.7502301236381754e-06,0.0,0.0,-1.450326271879021e-05,-1.2138325473642908e-06,0.0009971095714718103,0.0,0.0,-3.6492069739324506e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,4.288329364499077e-06,0.0,0.0,0.0,0.0,0.0008205664926208556,0.0,-2.336494071641937e-05,-2.336495163035579e-05,0.0010346285998821259,0.0010346285998821259,0.0005462560802698135,0.0005462523549795151,0.0,0.0,0.0,0.0,0.0,-2.336488978471607e-05,-2.3364955268334597e-05,0.0016227494925260544,0.001622749026864767,0.0,0.0,9.22144390642643e-05,9.221467189490795e-05,0.0021913088858127594,0.002204548567533493,0.0,0.0,0.0016461536288261414,0.0007665632292628288,0.0,0.0004573129117488861,0.0004573129117488861,0.0011452771723270416,0.0011451058089733124,0.0,0.0,0.0,0.0,0.006826639175415039,0.000993040855973959,0.0009930399246513844,0.0002764449454843998,0.0002764449454843998,0.0011002076789736748,0.001074574887752533,-8.878490189090371e-05,-8.878493099473417e-05,0.0,-2.079681507893838e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-2.6169891498284414e-06,0.0,0.0,-1.4598334018955939e-05,-1.2221494216646533e-06,0.0009555290453135967,0.0,0.0,-3.58571378455963e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.7270910979714245e-06,0.0,0.0,0.0,0.0,0.0008282446069642901,0.0,-2.28150820476003e-05,-2.281509296153672e-05,0.0010285712778568268,0.0010285712778568268,0.0005423687398433685,0.0005423687398433685,0.0,0.0,0.0,0.0,0.0,-2.2815034753875807e-05,-2.281510387547314e-05,0.00162590853869915,0.0016259083058685064,0.0,0.0,6.61252997815609e-05,6.612460128962994e-05,0.002164900302886963,0.0021781399846076965,0.0,0.0,0.001599736511707306,0.0007357951253652573,0.0,0.00045273546129465103,0.0004527349956333637,0.0011354368180036545,0.0011352598667144775,0.0,0.0,0.0,0.0,0.004868462681770325,0.0010036691091954708,0.0010036681778728962,0.0002610892988741398,0.0002610892988741398,0.001068558543920517,0.0010423054918646812,-8.931772026699036e-05,-8.931773481890559e-05,0.0,-2.150297223124653e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-2.875725840567611e-06,0.0,0.0,-1.4413702956517227e-05,-1.2059970231348416e-06,0.001036276575177908,0.0,0.0,-3.709013071784284e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,4.8169858928304166e-06,0.0,0.0,0.0,0.0,0.0008133341325446963,0.0,-2.388288703514263e-05,-2.388288703514263e-05,0.0010403282940387726,0.001040332019329071,0.0005499143153429031,0.0005499124526977539,0.0,0.0,0.0,0.0,0.0,-2.3882828827481717e-05,-2.388289794907905e-05,0.0016197729855775833,0.0016197727527469397,0.0,0.0,0.00011678971350193024,0.00011678948067128658,0.002216184511780739,0.0022294186055660248,0.0,0.0,0.0016898773610591888,0.0007955459877848625,0.0,0.0004616258665919304,0.0004616258665919304,0.0011545456945896149,0.001154378056526184,0.0,0.0,0.0,0.0,0.00867115706205368,0.0009830296039581299,0.0009830291382968426,0.0002909097820520401,0.0002909093163907528,0.0011300202459096909,0.0011049704626202583,-8.828297723084688e-05,-8.828300633467734e-05,0.0,-2.0131652490817942e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-3.7002591852797195e-06,0.0,0.0,-1.6882655472727492e-05,-2.7345593025529524e-06,0.000801613787189126,0.0,0.0,-7.137170541682281e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0189596650889143e-05,0.0,0.0,0.0,0.0,0.000616996141616255,0.0,-3.9005608414299786e-05,-3.900561932823621e-05,0.010922279208898544,0.010922277346253395,0.00949815846979618,0.009498156607151031,0.0,0.0,0.0,0.0,0.0,-3.900555384461768e-05,-3.900561932823621e-05,0.0018990046810358763,0.001899004215374589,0.0,0.0,-1.959269866347313e-05,-1.9592931494116783e-05,0.014198822900652885,0.014210172928869724,0.0,0.0,0.0019513145089149475,0.0005505615845322609,0.0,0.0003341245464980602,0.0003341240808367729,0.0012028496712446213,0.0012026764452457428,0.0,0.0,0.0,0.0,0.010753326117992401,0.0010658660903573036,0.0010658656246960163,0.0004462124779820442,0.0004462120123207569,0.013428492471575737,0.013796631246805191,2.4352291802642867e-05,2.4352255422854796e-05,0.0,-1.022477590595372e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-4.491088475333527e-06,0.0,0.0,-1.2251570296939462e-05,-2.103528913721675e-06,0.0011388438288122416,0.0,0.0,-6.7471210059011355e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.080697231576778e-05,0.0,0.0,0.0,0.0,0.0006761999684385955,0.0,-3.9650636608712375e-05,-3.9650651160627604e-05,0.010345209389925003,0.010345211252570152,0.009677236899733543,0.009677233174443245,0.0,0.0,0.0,0.0,0.0,-3.965058203903027e-05,-3.965064388466999e-05,0.0015189859550446272,0.0015189850237220526,0.0,0.0,0.00028647645376622677,0.00028647598810493946,0.009004725143313408,0.009017634205520153,0.0,0.0,0.0015490241348743439,0.0008384808897972107,0.0,0.0003859708085656166,0.0003859708085656166,0.00111464224755764,0.0011144857853651047,0.0,0.0,0.0,0.0,0.03107360005378723,0.000873098149895668,0.0008730976842343807,0.0003057783469557762,0.0003057774156332016,0.0035671680234372616,0.003668553661555052,-7.046766404528171e-05,-7.04677077010274e-05,0.0,-8.780283678788692e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-1.4718734746566042e-05,0.0,0.0,7.350288797169924e-06,-4.931305284117116e-06,0.001370973652228713,0.0,0.0,-1.2053616956109181e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0002489152830094099,0.0,0.0,0.0,0.0,0.0006531759281642735,0.0,-4.7914814786054194e-05,-4.791484388988465e-05,0.013438994064927101,0.013438992202281952,0.006098546087741852,0.006098546087741852,0.0,0.0,0.0,0.0,0.0,-4.7914774768287316e-05,-4.7914836613927037e-05,0.002003089990466833,0.002003089291974902,0.0,0.0,0.0002516049426048994,0.0002516044769436121,0.06068813428282738,0.060697004199028015,0.0,0.0,0.001333393156528473,0.01968476176261902,0.0,0.0002857460640370846,0.0002857460640370846,0.042105987668037415,0.042105771601200104,0.0,0.0,0.0,0.0,0.037605173885822296,0.0010813409462571144,0.001081340480595827,0.0007300800643861294,0.0007300791330635548,0.016686096787452698,0.016949469223618507,-0.0001382349873892963,-0.00013823501649312675,0.0,-2.7291433070786297e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
