brow_lower_l,tongue_Scale__X,tongue_Scale_Y,tongue_Scale__Y,tongue_Scale_Z,tongue_Scale__Z,nose_out_l,nose_out_r,tongue_u,tongue_u_u,brow_raise_d,cheek_suck_r,mouth_stretch_u,tongue_u_d,tooth_d_d,tongue_d,tooth_r,tooth_d_u,cheek_UP,eye_blink1_l,eye_blink1_r,eye_blink2_l,eye_blink2_r,eye_lidTight_l,eye_lidTight_r,eye_shutTight_l,eye_shutTight_r,brow_lower_r,eye_upperLidRaise_l,eye_upperLidRaise_r,eye_downLidRaise_l,eye_downLidRaise_r,jaw_sideways_l,jaw_sideways_r,jaw_thrust_c,mouth_chew_c,mouth_chinRaise_d,mouth_chinRaise_u,brow_raise_c,mouth_dimple_l,mouth_dimple_r,mouth_funnel_dl,mouth_funnel_dr,mouth_funnel_ul,mouth_funnel_ur,mouth_lipCornerDepressFix_l,mouth_lipCornerDepressFix_r,mouth_lipCornerDepress_l,mouth_lipCornerDepress_r,brow_raise_l,mouth_lipCornerPullOpen_l,mouth_lipCornerPullOpen_r,mouth_lipCornerPull_l,mouth_lipCornerPull_r,mouth_lipStretchOpen_l,mouth_lipStretchOpen_r,mouth_lipStretch_l,mouth_lipStretch_r,mouth_lowerLipDepress_l,mouth_lowerLipDepress_r,brow_raise_r,mouth_lowerLipProtrude_c,mouth_oh_c,mouth_oo_c,mouth_pressFix_c,mouth_press_l,mouth_press_r,mouth_pucker_l,mouth_pucker_r,mouth_screamFix_c,mouth_sideways_l,cheek_puff_l,mouth_sideways_r,mouth_stretch_c,mouth_suck_dl,mouth_suck_dr,mouth_suck_ul,mouth_suck_ur,mouth_upperLipRaise_l,mouth_upperLipRaise_r,nose_wrinkle_l,nose_wrinkle_r,cheek_puff_r,tooth_l,eye_lookDown1_l,eye_lookDown2_l,eye_lookLeft_l,eye_lookRight_l,eye_lookUp_l,eye_lookDown1_r,eye_lookDown2_r,eye_lookLeft_r,eye_lookRight_r,cheek_raise_l,eye_lookUp_r,tongue_Rot_1X,tongue_Rot__1X,tongue_Rot_2X,tongue_Rot__2X,tongue_Rot_3X,tongue_Rot__3X,tongue_Rot_1Y,tongue_Rot__1Y,tongue_Rot_2Y,cheek_raise_r,tongue_Rot__2Y,tongue_Rot_3Y,tongue_Rot__3Y,tongue_Rot_1Z,tongue_Rot__1Z,tongue_Rot_2Z,tongue_Rot__2Z,tongue_Rot_3Z,tongue_Rot__3Z,tongue_Scale_X,cheek_suck_l
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.6423193301307037e-05,0.0,0.0,-6.223880518518854e-06,6.66501910018269e-06,-4.408275708556175e-05,0.0,0.0,-1.221666025230661e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.662563803023659e-06,0.0,0.0,0.0,-5.959518745157766e-08,0.0002496475644875318,0.0,-4.8546829930273816e-05,-4.854679718846455e-05,0.0011975504457950592,0.0011975504457950592,0.000597730278968811,0.000597730278968811,0.0,0.0,0.0,0.0,0.0,-4.8546819016337395e-05,-4.8546782636549324e-05,0.0013573290780186653,0.0013573290780186653,0.0,0.0,-2.3907665308797732e-05,-2.3907465219963342e-05,0.0019545461982488632,0.0019466094672679901,0.0,0.0,0.0006002448499202728,0.0013107722625136375,0.0,0.0001514991745352745,0.0001514991745352745,0.0010339654982089996,0.0010339654982089996,0.0,0.0,0.0,0.0,0.0038833320140838623,0.0011981120333075523,0.0011981120333075523,0.0005920487456023693,0.0005920487456023693,0.0006567370146512985,0.0005740723572671413,1.2511882232502103e-06,1.251137291546911e-06,0.0,1.0170828318223357e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.6252644854830578e-05,0.0,0.0,-6.272531209106091e-06,6.650643626926467e-06,-0.00013470789417624474,0.0,0.0,-1.2268770888113067e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.05072886578273e-06,0.0,0.0,0.0,-5.958925441973406e-08,0.0002709223481360823,0.0,-4.871164128417149e-05,-4.8711612180341035e-05,0.0008995719254016876,0.0008995756506919861,0.0004270225763320923,0.0004270225763320923,0.0,0.0,0.0,0.0,0.0,-4.871163400821388e-05,-4.871159035246819e-05,0.0012589055113494396,0.0012589055113494396,0.0,0.0,-2.4902696168283e-05,-2.4902466975618154e-05,0.0018755178898572922,0.0018675439059734344,0.0,0.0,0.0007021874189376831,0.0013287803158164024,0.0,0.00015340442769229412,0.00015340419486165047,0.0010281428694725037,0.0010281410068273544,0.0,0.0,0.0,0.0,0.00403488427400589,0.0012258724309504032,0.0012258728966116905,0.0006198950577527285,0.0006198952905833721,0.0006333133205771446,0.0005437168292701244,4.5561318984255195e-07,4.5556225813925266e-07,0.0,1.0033014405053109e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.631055783946067e-05,0.0,0.0,-6.141438461781945e-06,6.673317329841666e-06,-0.0002458738163113594,0.0,0.0,-1.1925852732019848e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-6.903437679284252e-06,0.0,0.0,0.0,-5.915150325108698e-08,0.00024422313435934484,0.0,-4.8448946472490206e-05,-4.844891373068094e-05,0.0013100989162921906,0.001310102641582489,0.00060262531042099,0.00060262531042099,0.0,0.0,0.0,0.0,0.0,-4.844893919653259e-05,-4.8448899178765714e-05,0.001490158960223198,0.0014901598915457726,0.0,0.0,-2.4407494493061677e-05,-2.440731623210013e-05,0.001989545300602913,0.0019815079867839813,0.0,0.0,0.0006108097732067108,0.001294250600039959,0.0,0.00014305615331977606,0.0001430563861504197,0.001035911962389946,0.0010359100997447968,0.0,0.0,0.0,0.0,0.0042551979422569275,0.001190094742923975,0.001190094742923975,0.0005791198927909136,0.0005791198927909136,0.0006880401633679867,0.0006103911437094212,1.9650833564810455e-06,1.965025148820132e-06,0.0,1.0059497981274035e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.5769330275361426e-05,0.0,0.0,-5.95046003581956e-06,6.701461643388029e-06,-0.0009344061836600304,0.0,0.0,-1.108193146137637e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.996609277441166e-06,0.0,0.0,0.0,-5.800089297736122e-08,0.0002472873602528125,0.0,-4.8322417569579557e-05,-4.832238482777029e-05,0.0012159384787082672,0.0012159384787082672,0.00035252049565315247,0.00035252049565315247,0.0,0.0,0.0,0.0,0.0,-4.832241029362194e-05,-4.832236663787626e-05,0.0017984220758080482,0.001798421610146761,0.0,0.0,-2.6734105631476268e-05,-2.673392737051472e-05,0.002018475905060768,0.002010105177760124,0.0,0.0,0.0007258616387844086,0.0012584058567881584,0.0,0.00011946482118219137,0.00011946517042815685,0.0010310783982276917,0.0010310746729373932,0.0,0.0,0.0,0.0,0.005402721464633942,0.0011921166442334652,0.0011921161785721779,0.0005654999986290932,0.0005655004642903805,0.0007603256963193417,0.0006889090873301029,3.0420342227444053e-06,3.041983291041106e-06,0.0,9.566595508658793e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.601383337401785e-05,0.0,0.0,-5.975521162326913e-06,6.717102223774418e-06,-0.0008550998754799366,0.0,0.0,-1.1077403314629919e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.634133802028373e-06,0.0,0.0,0.0,-5.815031300926421e-08,0.00022427228395827115,0.0,-4.820124740945175e-05,-4.8201218305621296e-05,0.0016242563724517822,0.0016242563724517822,0.0005958452820777893,0.0005958452820777893,0.0,0.0,0.0,0.0,0.0,-4.820124013349414e-05,-4.8201196477748454e-05,0.0019117910414934158,0.0019117910414934158,0.0,0.0,-2.5598663341952488e-05,-2.5598455977160484e-05,0.0020961109548807144,0.0020876675844192505,0.0,0.0,0.0006207376718521118,0.0012365030124783516,0.0,0.00011329737026244402,0.00011329748667776585,0.0010392367839813232,0.0010392330586910248,0.0,0.0,0.0,0.0,0.004743911325931549,0.0011641946621239185,0.0011641946621239185,0.0005334555171430111,0.0005334557499736547,0.0007843854837119579,0.0007221577689051628,3.94616654375568e-06,3.9460937841795385e-06,0.0,9.736546417116188e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.5808269381523132e-05,0.0,0.0,-6.067220056138467e-06,6.540180038427934e-06,-0.0010940139181911945,0.0,0.0,-1.1493115152916289e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-6.111366019467823e-06,0.0,0.0,0.0,-5.684562154328887e-08,0.0003008105850312859,0.0,-4.867064853897318e-05,-4.867061215918511e-05,0.001742921769618988,0.0017429180443286896,0.0008143410086631775,0.0008143410086631775,0.0,0.0,0.0,0.0,0.0,-4.867064126301557e-05,-4.8670593969291076e-05,0.0015252032317221165,0.001525204163044691,0.0,0.0,-2.9516751965275034e-05,-2.9516530048567802e-05,0.001840466633439064,0.0018319357186555862,0.0,0.0,0.0010442398488521576,0.0013259435072541237,0.0,0.00012365763541311026,0.00012365798465907574,0.001058509573340416,0.0010585077106952667,0.0,0.0,0.0,0.0,0.006048642098903656,0.0012575681321322918,0.0012575681321322918,0.0006370933260768652,0.0006370935589075089,0.0006942143663764,0.0006246445700526237,3.488363290671259e-06,3.4883050830103457e-06,0.0,9.54210372583475e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.3785675037070177e-05,0.0,0.0,-5.336804861144628e-06,5.63107732887147e-06,-0.0005716648884117603,0.0,0.0,-1.395756157762662e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1.0166533684241585e-05,0.0,0.0,0.0,-6.211423908553115e-08,0.0002853274636436254,0.0,-5.1301904022693634e-05,-5.130186764290556e-05,0.001383800059556961,0.001383800059556961,0.0006263032555580139,0.0006263032555580139,0.0,0.0,0.0,0.0,0.0,-5.130189310875721e-05,-5.130184945301153e-05,0.0014026360586285591,0.0014026355929672718,0.0,0.0,8.283936040243134e-06,8.28412885311991e-06,0.009371471591293812,0.009363357909023762,0.0,0.0,0.0009442232549190521,0.001279435120522976,0.0,0.00013714912347495556,0.0001371497055515647,0.0009849481284618378,0.0009849481284618378,0.0,0.0,0.0,0.0,0.0036119893193244934,0.0012198700569570065,0.0012198705226182938,0.0006068267393857241,0.0006068269722163677,0.0021799516398459673,0.0020933030173182487,-1.4086326700635254e-06,-1.408698153682053e-06,0.0,7.627773811691441e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,7.087026460794732e-06,0.0,0.0,-1.627951633054181e-06,3.5355974432604853e-06,-0.000914447009563446,0.0,0.0,-1.6802760001155548e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1.2785179933416657e-05,0.0,0.0,0.0,-6.586753187320937e-08,0.00026445233379490674,0.0,-5.556937321671285e-05,-5.5569340474903584e-05,-0.0003363005816936493,-0.0003363005816936493,-0.0008958578109741211,-0.0008958578109741211,0.0,0.0,0.0,0.0,0.0,-5.556936957873404e-05,-5.556931864703074e-05,0.001796253491193056,0.0017962530255317688,0.0,0.0,8.510630868840963e-05,8.510653424309567e-05,0.026095107197761536,0.02608964778482914,0.0,0.0,0.0010162927210330963,0.001164042390882969,0.0,0.0001917453482747078,0.00019174558110535145,0.0008124206215143204,0.0008124168962240219,0.0,0.0,0.0,0.0,0.012714892625808716,0.0010889305267482996,0.0010889307595789433,0.0005527741741389036,0.0005527744069695473,0.004999828990548849,0.0048482078127563,-1.3782380847260356e-05,-1.3782453606836498e-05,0.0,1.984559276024811e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,5.675670763594098e-06,0.0,0.0,1.0784941650854307e-06,2.244748884550063e-06,-0.0003486070781946182,0.0,0.0,-1.5382195215352112e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1.2683396562351845e-05,0.0,0.0,0.0,-6.222591508731057e-08,0.00022131510195322335,0.0,-5.551755384658463e-05,-5.551752110477537e-05,0.005432024598121643,0.005432024598121643,0.002719774842262268,0.002719774842262268,0.0,0.0,0.0,0.0,0.0,-5.551754293264821e-05,-5.551749200094491e-05,0.0019854586571455,0.0019854591228067875,0.0,0.0,0.00010621780529618263,0.00010621798719512299,0.03402923047542572,0.03402376547455788,0.0,0.0,0.0011572502553462982,0.0014728391543030739,0.0,0.0002232332481071353,0.00022323359735310078,0.0020946022123098373,0.002094600349664688,0.0,0.0,0.0,0.0,0.02045626938343048,0.0009933717083185911,0.0009933719411492348,0.0004939686041325331,0.0004939690697938204,0.009723186492919922,0.009776870720088482,2.6810255803866312e-05,2.6810201234184206e-05,0.0,7.302860467461869e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-5.030660759075545e-06,0.0,0.0,3.4925608360936167e-06,-5.701374448108254e-07,0.0008415293414145708,0.0,0.0,-1.5258103758242214e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.101325536496006e-06,0.0,0.0,0.0,-6.880130598574397e-08,0.0002195937850046903,0.0,-5.289602268021554e-05,-5.289599357638508e-05,0.009288333356380463,0.009288329631090164,0.0020241662859916687,0.0020241662859916687,0.0,0.0,0.0,0.0,0.0,-5.2896011766279116e-05,-5.289595719659701e-05,0.0023964601568877697,0.002396460622549057,0.0,0.0,0.00015364425780717283,0.00015364441787824035,0.059312254190444946,0.05930199846625328,0.0,0.0,0.001171298325061798,0.008846424520015717,0.0,0.00010004860814660788,0.00010004953946918249,0.030952448025345802,0.030952446162700653,0.0,0.0,0.0,0.0,0.026965513825416565,0.0009095699060708284,0.0009095699060708284,0.0002893467899411917,0.00028934702277183533,0.027731601148843765,0.028268611058592796,0.00016599505033809692,0.00016599497757852077,0.0,-7.110342266969383e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
