brow_lower_l,tongue_Scale_X,tongue_Scale__X,tongue_Scale_Y,tongue_Scale__Y,tongue_Scale_Z,tongue_Scale__Z,nose_out_l,nose_out_r,tongue_u,tongue_u_u,cheek_suck_r,brow_raise_d,mouth_stretch_u,tongue_u_d,tooth_d_d,tongue_d,tooth_r,tooth_d_u,cheek_UP,eye_blink1_l,eye_blink1_r,eye_blink2_l,eye_blink2_r,eye_lidTight_l,eye_lidTight_r,eye_shutTight_l,eye_shutTight_r,brow_lower_r,eye_upperLidRaise_l,eye_upperLidRaise_r,eye_downLidRaise_l,eye_downLidRaise_r,jaw_sideways_l,jaw_sideways_r,jaw_thrust_c,mouth_chew_c,mouth_chinRaise_d,mouth_chinRaise_u,brow_raise_c,mouth_dimple_l,mouth_dimple_r,mouth_funnel_dl,mouth_funnel_dr,mouth_funnel_ul,mouth_funnel_ur,mouth_lipCornerDepressFix_l,mouth_lipCornerDepressFix_r,mouth_lipCornerDepress_l,mouth_lipCornerDepress_r,brow_raise_l,mouth_lipCornerPullOpen_l,mouth_lipCornerPullOpen_r,mouth_lipCornerPull_l,mouth_lipCornerPull_r,mouth_lipStretchOpen_l,mouth_lipStretchOpen_r,mouth_lipStretch_l,mouth_lipStretch_r,mouth_lowerLipDepress_l,mouth_lowerLipDepress_r,brow_raise_r,mouth_lowerLipProtrude_c,mouth_oh_c,mouth_oo_c,mouth_pressFix_c,mouth_press_l,mouth_press_r,mouth_pucker_l,mouth_pucker_r,mouth_screamFix_c,mouth_sideways_l,cheek_puff_l,mouth_sideways_r,mouth_stretch_c,mouth_suck_dl,mouth_suck_dr,mouth_suck_ul,mouth_suck_ur,mouth_upperLipRaise_l,mouth_upperLipRaise_r,nose_wrinkle_l,nose_wrinkle_r,cheek_puff_r,tooth_l,eye_lookDown1_l,eye_lookDown2_l,eye_lookLeft_l,eye_lookRight_l,eye_lookUp_l,eye_lookDown1_r,eye_lookDown2_r,eye_lookLeft_r,cheek_raise_l,eye_lookRight_r,eye_lookUp_r,tongue_Rot_1X,tongue_Rot__1X,tongue_Rot_2X,tongue_Rot__2X,tongue_Rot_3X,tongue_Rot__3X,tongue_Rot_1Y,tongue_Rot__1Y,cheek_raise_r,tongue_Rot_2Y,tongue_Rot__2Y,tongue_Rot_3Y,tongue_Rot__3Y,tongue_Rot_1Z,tongue_Rot__1Z,tongue_Rot_2Z,tongue_Rot__2Z,tongue_Rot_3Z,tongue_Rot__3Z,cheek_suck_l
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-3.0990829902322048e-09,0.0,0.0,-5.198387498239754e-07,2.2535662225209308e-08,0.00101872393861413,0.0,0.0,-4.139999987273768e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2.693324859137647e-06,0.0,0.0,0.0,0.0,0.0005365972174331546,0.0,8.681971849000547e-06,1.1957301467191428e-05,-0.00024049356579780579,-0.00023791473358869553,0.0003179619088768959,0.0003156261518597603,0.0,0.0,0.0,0.0,0.0,9.248582500731573e-06,1.3715107343159616e-05,-0.0005947098252363503,-0.0006341056432574987,0.0,0.0,0.0006653028540313244,0.0006653844611719251,0.0031905286014080048,0.003182811662554741,0.0,0.0,-0.004813089966773987,-0.001461248379200697,0.0,0.000134157482534647,0.00012061698362231255,0.0010455567389726639,0.001017080619931221,0.0,0.0,0.0,0.0,0.006901003420352936,0.0014355424791574478,0.0014406302943825722,0.0009628944098949432,0.0009619696065783501,0.0005784821696579456,0.0005703317001461983,8.379301289096475e-05,4.3485961214173585e-05,0.0,-4.466778591449838e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-3.2964451168737696e-09,0.0,0.0,-5.287447493174113e-07,2.3026332840458963e-08,0.0010329564101994038,0.0,0.0,-4.2668450106475575e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-3.7178979255259037e-06,0.0,0.0,0.0,0.0,0.0005556234391406178,0.0,8.7697717390256e-06,1.2124448403483257e-05,-8.96872952580452e-05,-8.721277117729187e-05,0.0004926556721329689,0.0004902519285678864,0.0,0.0,0.0,0.0,0.0,9.431652870262042e-06,1.3915318049839698e-05,-0.0005980952992103994,-0.000637352408375591,0.0,0.0,0.0007333988323807716,0.0007336006965488195,0.0029038581997156143,0.0028965063393115997,0.0,0.0,-0.005121447145938873,-0.001624769065529108,0.0,0.00010592909529805183,9.285751730203629e-05,0.000779150053858757,0.0007504839450120926,0.0,0.0,0.0,0.0,0.007731176912784576,0.0014251950196921825,0.0014302702620625496,0.0009464719332754612,0.0009456304833292961,0.0004578954540193081,0.0004498658236116171,8.449007873423398e-05,4.40245567006059e-05,0.0,-4.677052857005037e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-5.448270279373446e-09,0.0,0.0,-7.849002940929495e-07,2.524264530734399e-08,0.0009941775351762772,0.0,0.0,-3.496186451457106e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-6.608006515307352e-07,0.0,0.0,0.0,0.0,0.0005957519169896841,0.0,8.701623301021755e-06,1.2273023457964882e-05,-3.629922866821289e-05,-3.4475699067115784e-05,-5.382951349020004e-05,-5.5069103837013245e-05,0.0,0.0,0.0,0.0,0.0,9.577755918144248e-06,1.3758828572463244e-05,-0.0006374219665303826,-0.0006774959620088339,0.0,0.0,0.0005475410725921392,0.0005476202350109816,0.0033501163125038147,0.0033434880897402763,0.0,0.0,-0.0007828995585441589,0.0007995073683559895,0.0,0.0003701453097164631,0.0003583645448088646,0.0034147221595048904,0.0033876579254865646,0.0,0.0,0.0,0.0,0.008139804005622864,0.001982716843485832,0.001987215131521225,0.0013791806995868683,0.0013789646327495575,0.0008131088688969612,0.0008038240484893322,8.754676673561335e-05,4.7545348934363574e-05,0.0,-3.927943453163607e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-2.500861073784222e-09,0.0,0.0,-5.467572918860242e-07,2.2480351802300902e-08,0.0011351918801665306,0.0,0.0,-4.3982080200066775e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.842571120709181e-07,0.0,0.0,0.0,0.0,0.0005448193987831473,0.0,8.712515409570187e-06,1.2777720257872716e-05,-0.0021455390378832817,-0.002143409103155136,-0.0004938570782542229,-0.0004958156496286392,0.0,0.0,0.0,0.0,0.0,9.66647348832339e-06,1.4224908227333799e-05,-0.0006139099132269621,-0.0006532897823490202,0.0,0.0,0.0007680354174226522,0.0007684178417548537,0.003202226012945175,0.003193991258740425,0.0,0.0,-0.0047376155853271484,-0.0038490495644509792,0.0,0.00012390268966555595,0.00011097965762019157,-0.0012778006494045258,-0.0013041961938142776,0.0,0.0,0.0,0.0,0.0063773393630981445,0.001480193343013525,0.0014861030504107475,0.0011038677766919136,0.0011027595028281212,0.0005641519092023373,0.0005566086620092392,8.834173786453903e-05,4.736691334983334e-05,0.0,-4.516168701229617e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-2.4669202236538013e-09,0.0,0.0,-9.262193998438306e-07,1.9417921492959067e-08,0.0010996111668646336,0.0,0.0,-3.135530590725466e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1.041789619193878e-05,0.0,0.0,0.0,0.0,0.0004959426587447524,0.0,9.145671356236562e-06,1.2971446267329156e-05,-0.001317945308983326,-0.001315292902290821,-0.0008231056854128838,-0.0008245203644037247,0.0,0.0,0.0,0.0,0.0,9.969236998585984e-06,1.469629023631569e-05,-0.0005391112063080072,-0.000580236897803843,0.0,0.0,0.0005241234321147203,0.0005237956065684557,0.005072303116321564,0.00506342388689518,0.0,0.0,-0.0033418312668800354,-0.00011268816888332367,0.0,0.0003075692802667618,0.00029242876917123795,0.0024290084838867188,0.0024029333144426346,0.0,0.0,0.0,0.0,0.0083632692694664,0.0019546542316675186,0.0019592768512666225,0.0013406495563685894,0.00133948540315032,0.001340644434094429,0.0013271761126816273,8.249089296441525e-05,4.233191430103034e-05,0.0,-4.276858817320317e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-2.6119153506698467e-09,0.0,0.0,-7.369560535153141e-07,1.681686434551466e-08,0.0010392549447715282,0.0,0.0,-3.021915162548794e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.79923754837364e-06,0.0,0.0,0.0,0.0,0.0005045802099630237,0.0,9.355409019917715e-06,1.2646360119106248e-05,0.0003359774127602577,0.0003388570621609688,0.0005276314914226532,0.0005258228629827499,0.0,0.0,0.0,0.0,0.0,9.831172064878047e-06,1.4588011254090816e-05,-0.00043288455344736576,-0.00047454790910705924,0.0,0.0,0.00046378117986023426,0.00046342751011252403,0.0076466770842671394,0.007637012749910355,0.0,0.0,-0.005055002868175507,0.00016732094809412956,0.0,0.00027633458375930786,0.0002616196870803833,0.0029508378356695175,0.002923978492617607,0.0,0.0,0.0,0.0,0.008464448153972626,0.0018049217760562897,0.0018093343824148178,0.0012825620360672474,0.0012819352559745312,0.0018667029216885567,0.0018647676333785057,7.376525900326669e-05,3.467882197583094e-05,0.0,-4.688398803409655e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-3.9796512751877344e-09,0.0,0.0,-1.2848906862927834e-06,2.101049290104129e-08,0.0011284328065812588,0.0,0.0,-2.74166040981072e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1.9425744540058076e-05,0.0,0.0,0.0,0.0,0.0005597435520030558,0.0,9.627021427149884e-06,1.3782217138214037e-05,-0.0006219958886504173,-0.0006197337061166763,-0.0007758652791380882,-0.0007768142968416214,0.0,0.0,0.0,0.0,0.0,1.0865602234844118e-05,1.563893056300003e-05,-0.0005495399236679077,-0.0005911896005272865,0.0,0.0,0.0006106527289375663,0.0006103981286287308,0.004519069567322731,0.0045116860419511795,0.0,0.0,-0.0021444186568260193,0.0019461107440292835,0.0,0.0003832755610346794,0.00036913901567459106,0.00406857393682003,0.004042521119117737,0.0,0.0,0.0,0.0,0.012566342949867249,0.0023713484406471252,0.0023750895634293556,0.001548711210489273,0.0015479880385100842,0.0012754525523632765,0.0012565329670906067,8.526335295755416e-05,4.4857311877422035e-05,0.0,-4.659613750845892e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-3.869891962438032e-09,0.0,0.0,-8.849308414937695e-07,2.2844858449388994e-08,0.0012010522186756134,0.0,0.0,-3.425692440828243e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.036788257304579e-06,0.0,0.0,0.0,0.0,0.0006094463169574738,0.0,9.998308996728156e-06,1.55920279212296e-05,-0.0020263446494936943,-0.002025499939918518,-0.0007471377030014992,-0.0007472792640328407,0.0,0.0,0.0,0.0,0.0,1.2315940693952143e-05,1.6922494978643954e-05,-0.0004960534861311316,-0.0005377482739277184,0.0,0.0,0.0007883190410211682,0.0007886365056037903,0.00846766959875822,0.00845922902226448,0.0,0.0,0.0003213733434677124,-0.0016456698067486286,0.0,0.0003993287682533264,0.0003880108706653118,-8.25095921754837e-05,-0.00010436028242111206,0.0,0.0,0.0,0.0,0.01488882303237915,0.0024439459666609764,0.0024488484486937523,0.0018982249312102795,0.0018981127068400383,0.0021738484501838684,0.0021748756989836693,8.115160744637251e-05,3.878109419019893e-05,0.0,-4.0997338146553375e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-2.106593344208818e-09,0.0,0.0,-5.634362878481625e-07,1.2659473469511795e-08,0.0012385130394250154,0.0,0.0,-3.2314126485744055e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.656038875808008e-06,0.0,0.0,0.0,0.0,0.0005030067986808717,0.0,1.0387932888988871e-05,1.5790679753990844e-05,-0.0034357113763689995,-0.0034337155520915985,-0.0012257890775799751,-0.0012262053787708282,0.0,0.0,0.0,0.0,0.0,1.1843098036479205e-05,1.710505603114143e-05,-0.000263773777987808,-0.0003074643900617957,0.0,0.0,0.0005609744694083929,0.000560797518119216,0.015147330239415169,0.015133937820792198,0.0,0.0,-0.005210559815168381,-0.003821569960564375,0.0,0.00022317888215184212,0.00020868517458438873,-0.0016399230808019638,-0.0016613490879535675,0.0,0.0,0.0,0.0,0.011200428009033203,0.001983341760933399,0.001988799311220646,0.0017248266376554966,0.0017251423560082912,0.003931221552193165,0.0039463769644498825,7.181474211392924e-05,3.059458686038852e-05,0.0,-4.806450306205079e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-2.460063930342926e-09,0.0,0.0,2.9304394502105424e-06,2.431474044328752e-08,0.0006046541966497898,0.0,0.0,-3.400614190240958e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,9.0107336291112e-05,0.0,0.0,0.0,0.0,0.00011456487118266523,0.0,1.3068826774542686e-05,1.961427005880978e-05,-0.0013188635930418968,-0.0013156924396753311,-0.002442103810608387,-0.002440354786813259,0.0,0.0,0.0,0.0,0.0,1.586881626280956e-05,2.1304400434019044e-05,0.00045990775106474757,0.0004091460141353309,0.0,0.0,-0.0004036612808704376,-0.00040793465450406075,0.05612195283174515,0.056093480437994,0.0,0.0,-0.0007822476327419281,0.003873763605952263,0.0,0.0001376774162054062,0.00011245766654610634,0.0015751197934150696,0.0015500504523515701,0.0,0.0,0.0,0.0,0.023684047162532806,0.002273532096296549,0.0022756773978471756,0.002061122562736273,0.0020646722987294197,0.016195813193917274,0.016317050904035568,-2.4586865038145334e-05,-6.744188431184739e-05,0.0,2.477910584275378e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
