brow_lower_l,tongue_Scale__X,tongue_Scale_Y,tongue_Scale__Y,tongue_Scale_Z,tongue_Scale__Z,nose_out_l,nose_out_r,tongue_u,tongue_u_u,brow_raise_d,cheek_suck_r,mouth_stretch_u,tongue_u_d,tooth_d_d,tongue_d,tooth_r,tooth_d_u,cheek_UP,eye_blink1_l,eye_blink1_r,eye_blink2_l,eye_blink2_r,eye_lidTight_l,eye_lidTight_r,eye_shutTight_l,eye_shutTight_r,brow_lower_r,eye_upperLidRaise_l,eye_upperLidRaise_r,eye_downLidRaise_l,eye_downLidRaise_r,jaw_sideways_l,jaw_sideways_r,jaw_thrust_c,mouth_chew_c,mouth_chinRaise_d,mouth_chinRaise_u,brow_raise_c,mouth_dimple_l,mouth_dimple_r,mouth_funnel_dl,mouth_funnel_dr,mouth_funnel_ul,mouth_funnel_ur,mouth_lipCornerDepressFix_l,mouth_lipCornerDepressFix_r,mouth_lipCornerDepress_l,mouth_lipCornerDepress_r,brow_raise_l,mouth_lipCornerPullOpen_l,mouth_lipCornerPullOpen_r,mouth_lipCornerPull_l,mouth_lipCornerPull_r,mouth_lipStretchOpen_l,mouth_lipStretchOpen_r,mouth_lipStretch_l,mouth_lipStretch_r,mouth_lowerLipDepress_l,mouth_lowerLipDepress_r,brow_raise_r,mouth_lowerLipProtrude_c,mouth_oh_c,mouth_oo_c,mouth_pressFix_c,mouth_press_l,mouth_press_r,mouth_pucker_l,mouth_pucker_r,mouth_screamFix_c,mouth_sideways_l,cheek_puff_l,mouth_sideways_r,mouth_stretch_c,mouth_suck_dl,mouth_suck_dr,mouth_suck_ul,mouth_suck_ur,mouth_upperLipRaise_l,mouth_upperLipRaise_r,nose_wrinkle_l,nose_wrinkle_r,cheek_puff_r,tooth_l,eye_lookDown1_l,eye_lookDown2_l,eye_lookLeft_l,eye_lookRight_l,eye_lookUp_l,eye_lookDown1_r,eye_lookDown2_r,eye_lookLeft_r,eye_lookRight_r,cheek_raise_l,eye_lookUp_r,tongue_Rot_1X,tongue_Rot__1X,tongue_Rot_2X,tongue_Rot__2X,tongue_Rot_3X,tongue_Rot__3X,tongue_Rot_1Y,tongue_Rot__1Y,tongue_Rot_2Y,cheek_raise_r,tongue_Rot__2Y,tongue_Rot_3Y,tongue_Rot__3Y,tongue_Rot_1Z,tongue_Rot__1Z,tongue_Rot_2Z,tongue_Rot__2Z,tongue_Rot_3Z,tongue_Rot__3Z,tongue_Scale_X,cheek_suck_l
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-3.115505387540907e-05,0.0,0.0,1.8753307813312858e-06,-1.4422143976844382e-05,0.000373112503439188,0.0,0.0,2.9714432457694784e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.370726022287272e-05,0.0,0.0,0.0,9.861769285635091e-06,0.0005031615146435797,0.0,-0.0001499588688602671,-0.00015000920393504202,0.0003727748990058899,0.00037276744842529297,0.00019380822777748108,0.00019380822777748108,0.0,0.0,0.0,0.0,0.0,-0.00015031172370072454,-0.00015034948592074215,0.0013157795183360577,0.0013157795183360577,0.0,0.0,-0.00044627071474678814,-0.00044627083116210997,0.001851096749305725,0.001823214814066887,0.0,0.0,0.0005441419780254364,0.0015712715685367584,0.0,0.000444254488684237,0.0004442548379302025,0.0005136076360940933,0.0005136039108037949,0.0,0.0,0.0,0.0,0.0064301639795303345,0.0020094490610063076,0.0020094490610063076,0.0019391048699617386,0.0019391048699617386,0.0008235354907810688,0.0007047969847917557,3.8776845030952245e-05,3.877685230690986e-05,0.0,-4.6559249312849715e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-3.124824434053153e-05,0.0,0.0,1.3741537259193137e-06,-1.4623562492488418e-05,0.0005271709524095058,0.0,0.0,2.9989318136358634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4177539924276061e-05,0.0,0.0,0.0,9.786269401956815e-06,0.0004682581638917327,0.0,-0.000151778498548083,-0.0001518295321147889,-4.1797757148742676e-05,-4.180148243904114e-05,3.513321280479431e-05,3.513321280479431e-05,0.0,0.0,0.0,0.0,0.0,-0.00015213545702863485,-0.00015217368490993977,0.001097861211746931,0.0010978616774082184,0.0,0.0,-0.00044435111340135336,-0.0004443512298166752,0.0019376035779714584,0.001909775659441948,0.0,0.0,0.0005098916590213776,0.0015867231413722038,0.0,0.0004458960611373186,0.0004458965267986059,0.0004782341420650482,0.000478232279419899,0.0,0.0,0.0,0.0,0.005986720323562622,0.0019728136248886585,0.001972812693566084,0.0018906667828559875,0.0018906667828559875,0.0007946374826133251,0.0006636115722358227,3.917027061106637e-05,3.9170241507235914e-05,0.0,-4.636190351448022e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-3.161803397233598e-05,0.0,0.0,2.1941596060059965e-06,-1.454912853660062e-05,0.0006384095177054405,0.0,0.0,2.9862047085771337e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.501425686001312e-05,0.0,0.0,0.0,9.850834430835675e-06,0.0004718520794995129,0.0,-0.00015135150169953704,-0.00015140240429900587,8.38451087474823e-05,8.384883403778076e-05,0.00012829899787902832,0.00012829899787902832,0.0,0.0,0.0,0.0,0.0,-0.0001517076016170904,-0.00015174568397924304,0.0010589249432086945,0.0010589244775474072,0.0,0.0,-0.00044212775537744164,-0.00044212801731191576,0.0015894770622253418,0.0015612207353115082,0.0,0.0,0.00046628713607788086,0.0017051687464118004,0.0,0.00044554914347827435,0.00044554867781698704,0.0005441028624773026,0.0005441009998321533,0.0,0.0,0.0,0.0,0.004584647715091705,0.0019940342754125595,0.001994034741073847,0.0018717367202043533,0.001871736953034997,0.0006127776578068733,0.0004802010953426361,3.9737147744745016e-05,3.973715502070263e-05,0.0,-4.6705194108653814e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-3.2525756978429854e-05,0.0,0.0,-4.339526640251279e-07,-1.5351350157288834e-05,0.0008738520555198193,0.0,0.0,3.079591988353059e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0478901458554901e-05,0.0,0.0,0.0,1.0075485988636501e-05,0.0003702262183651328,0.0,-0.00015738321235403419,-0.00015743717085570097,-0.0014211386442184448,-0.0014211423695087433,-0.0006022565066814423,-0.0006022565066814423,0.0,0.0,0.0,0.0,0.0,-0.00015776060172356665,-0.0001578009541844949,0.0005989829078316689,0.0005989819765090942,0.0,0.0,-0.0004576100909616798,-0.0004576101782731712,0.00227232463657856,0.00224313884973526,0.0,0.0,0.0006270222365856171,0.0014158664271235466,0.0,0.00039317028131335974,0.00039317039772868156,0.0003170464187860489,0.00031704455614089966,0.0,0.0,0.0,0.0,0.0009696334600448608,0.0018198895268142223,0.0018198899924755096,0.0019024237990379333,0.0019024237990379333,0.0008942293934524059,0.0007356847636401653,3.56837481376715e-05,3.568376996554434e-05,0.0,-4.683466977439821e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-3.215613469365053e-05,0.0,0.0,-2.781525836326182e-07,-1.5071177585923579e-05,0.0008774478919804096,0.0,0.0,3.0282375519163907e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,7.281629223143682e-06,0.0,0.0,0.0,1.035485456668539e-05,0.00039227004162967205,0.0,-0.0001549909939058125,-0.00015504418115597218,2.903863787651062e-05,2.903863787651062e-05,0.0001455061137676239,0.00014550238847732544,0.0,0.0,0.0,0.0,0.0,-0.0001553638867335394,-0.00015540383174084127,0.0008582430891692638,0.0008582435548305511,0.0,0.0,-0.0004675365053117275,-0.00046753662172704935,0.002431184984743595,0.0024030860513448715,0.0,0.0,0.0011409632861614227,0.001341179944574833,0.0,0.00035589002072811127,0.0003558901371434331,0.00042363815009593964,0.0004236362874507904,0.0,0.0,0.0,0.0,0.005506694316864014,0.0018791994079947472,0.0018791989423334599,0.002064857166260481,0.002064857166260481,0.0011656777933239937,0.0010454687289893627,3.3928139600902796e-05,3.392814687686041e-05,0.0,-4.604022251442075e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-3.145350638078526e-05,0.0,0.0,-5.977999535389245e-07,-1.5394984075101092e-05,0.0011669248342514038,0.0,0.0,3.06380788970273e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.5994399291230366e-05,0.0,0.0,0.0,9.887503438221756e-06,0.0003474880359135568,0.0,-0.00016028179379645735,-0.000160335679538548,-0.00035500526428222656,-0.0003550015389919281,-0.0001816190779209137,-0.00018161535263061523,0.0,0.0,0.0,0.0,0.0,-0.0001606568694114685,-0.00016069712000899017,0.0002091759815812111,0.0002091759815812111,0.0,0.0,-0.00044819386675953865,-0.0004481939831748605,0.0020653456449508667,0.0020370595157146454,0.0,0.0,0.0007134228944778442,0.0014668814837932587,0.0,0.00042709684930741787,0.0004270969657227397,0.00035383738577365875,0.0003538355231285095,0.0,0.0,0.0,0.0,0.0033576712012290955,0.0018459227867424488,0.0018459227867424488,0.0019029320683330297,0.0019029320683330297,0.00045455945655703545,0.00030654948204755783,3.631550498539582e-05,3.631551226135343e-05,0.0,-4.550873563857749e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-3.0399296520045027e-05,0.0,0.0,-1.4417128113564104e-07,-1.5649060514988378e-05,0.0012526372447609901,0.0,0.0,3.1355360988527536e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.7198679163120687e-05,0.0,0.0,0.0,1.0032099453383125e-05,0.0002856575883924961,0.0,-0.00015897094272077084,-0.00015902573068160564,0.0004452057182788849,0.0004452057182788849,0.0008732005953788757,0.0008732043206691742,0.0,0.0,0.0,0.0,0.0,-0.0001593509950907901,-0.00015939179866109043,-2.099107950925827e-05,-2.09929421544075e-05,0.0,0.0,-0.000426335958763957,-0.0004263360460754484,0.0025665629655122757,0.0025391336530447006,0.0,0.0,0.0002949833869934082,0.0017840294167399406,0.0,0.00050781958270818,0.0005078198155388236,0.0003586914390325546,0.0003586895763874054,0.0,0.0,0.0,0.0,0.005024529993534088,0.001784691121429205,0.0017846906557679176,0.0015902076847851276,0.0015902076847851276,0.0005982634611427784,0.0004495251923799515,4.5804205001331866e-05,4.5804205001331866e-05,0.0,-4.3382187868701294e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-2.927384412032552e-05,0.0,0.0,1.3363605830818415e-06,-1.5146729310799856e-05,0.0007154429331421852,0.0,0.0,3.0497103580273688e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.9032562451902777e-05,0.0,0.0,0.0,1.1444628398749046e-05,0.0003695570630952716,0.0,-0.00015076776617206633,-0.00015082162281032652,0.004735950380563736,0.004735954105854034,0.003294188529253006,0.0032941922545433044,0.0,0.0,0.0,0.0,0.0,-0.0001511451555415988,-0.00015118565352167934,0.0008329292759299278,0.0008329302072525024,0.0,0.0,-0.0004467004328034818,-0.00044670049101114273,0.003111099824309349,0.003083847463130951,0.0,0.0,0.0009491555392742157,0.0016016457229852676,0.0,0.0004788265796378255,0.0004788266960531473,0.0005045551806688309,0.0005045570433139801,0.0,0.0,0.0,0.0,0.009409189224243164,0.001858977135270834,0.001858978532254696,0.0018732580356299877,0.0018732580356299877,0.001244251150637865,0.001203180756419897,4.504033859120682e-05,4.504034586716443e-05,0.0,-4.172560147708282e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-2.9365301088546403e-05,0.0,0.0,-3.499866579659283e-06,-1.550562410557177e-05,0.0011814660392701626,0.0,0.0,3.209699207218364e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.748926923843101e-06,0.0,0.0,0.0,8.026255272852723e-06,0.000296451267786324,0.0,-0.00016829761443659663,-0.00016834368580020964,0.007377084344625473,0.007377084344625473,0.008850976824760437,0.008850973099470139,0.0,0.0,0.0,0.0,0.0,-0.0001686088799033314,-0.00016864272765815258,0.0007807407528162003,0.0007807412184774876,0.0,0.0,-0.0004030624695587903,-0.0004030626732856035,0.016845887526869774,0.01682366244494915,0.0,0.0,0.0011739470064640045,0.0009893635287880898,0.0,0.000598638434894383,0.0005986387841403484,8.754618465900421e-05,8.754432201385498e-05,0.0,0.0,0.0,0.0,0.014894522726535797,0.0019080257043242455,0.0019080261699855328,0.001774406060576439,0.001774406060576439,0.0020606541074812412,0.001868333201855421,4.353845724835992e-05,4.3538449972402304e-05,0.0,-4.239429472363554e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-2.2744065063307062e-05,0.0,0.0,1.7108330212067813e-05,-1.5604015061398968e-05,-0.00030051590874791145,0.0,0.0,3.1849318474996835e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,7.267332694027573e-05,0.0,0.0,0.0,1.8028102203970775e-05,0.0003881810698658228,0.0,-0.00012641391367651522,-0.00012646467075683177,0.04860739782452583,0.04860740154981613,0.04273393750190735,0.04273393750190735,0.0,0.0,0.0,0.0,0.0,-0.00012677557242568582,-0.00012681406224146485,0.0017520398832857609,0.0017520403489470482,0.0,0.0,-0.0004250348429195583,-0.0004250349593348801,0.025073744356632233,0.025048965588212013,0.0,0.0,0.0022046566009521484,0.0007050242274999619,0.0,0.0006214755121618509,0.0006214757449924946,0.0006141290068626404,0.0006141252815723419,0.0,0.0,0.0,0.0,0.023837342858314514,0.0021291072480380535,0.002129106316715479,0.0021396339870989323,0.002139634219929576,0.0033551636151969433,0.0037153565790504217,6.833447696408257e-05,6.833446968812495e-05,0.0,-2.5631818061810918e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
